"STATION","NAME","DATE","TMAX","TMIN"
"MXM00076680","MEXICO CITY, MX","2009-11-07",,
"MXM00076680","MEXICO CITY, MX","2009-11-09","72","50"
"MXM00076680","MEXICO CITY, MX","2009-11-10","72","46"
"MXM00076680","MEXICO CITY, MX","2009-11-11",,
"MXM00076680","MEXICO CITY, MX","2009-11-12",,
"MXM00076680","MEXICO CITY, MX","2009-11-13",,
"MXM00076680","MEXICO CITY, MX","2009-11-14","75","47"
"MXM00076680","MEXICO CITY, MX","2009-11-18","74","51"
"MXM00076680","MEXICO CITY, MX","2009-11-19","75","51"
"MXM00076680","MEXICO CITY, MX","2009-11-20","76","52"
"MXM00076680","MEXICO CITY, MX","2009-11-21","78","53"
"MXM00076680","MEXICO CITY, MX","2009-11-24","76","49"
"MXM00076680","MEXICO CITY, MX","2009-11-25","75","49"
"MXM00076680","MEXICO CITY, MX","2009-11-26","68","48"
"MXM00076680","MEXICO CITY, MX","2009-11-27",,
"MXM00076680","MEXICO CITY, MX","2009-11-28",,
